# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Sec/SPII)	PILIN(Sec/SPIII)	CS Position
prot_10152	LIPO	0.000000	0.000000	1.000024	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9948
prot_10153	LIPO	0.000000	0.000000	1.000034	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9720
prot_10154	OTHER	1.000032	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10155	LIPO	0.250056	0.009155	0.740782	0.000000	0.000000	0.000000	CS pos: 55-56. Pr: 0.6877
prot_10156	OTHER	1.000033	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10157	SP	0.000285	0.998790	0.000247	0.000270	0.000208	0.000210	CS pos: 38-39. Pr: 0.9525
prot_10158	SP	0.000198	0.999196	0.000170	0.000174	0.000140	0.000134	CS pos: 26-27. Pr: 0.9610
prot_10159	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1016	SP	0.000819	0.997599	0.000570	0.000412	0.000332	0.000304	CS pos: 24-25. Pr: 0.9705
prot_10160	OTHER	1.000007	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10161	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10162	LIPO	0.119193	0.135735	0.745064	0.000000	0.000000	0.000000	CS pos: 58-59. Pr: 0.7385
prot_10163	SP	0.000225	0.999081	0.000202	0.000195	0.000155	0.000168	CS pos: 22-23. Pr: 0.9749
prot_10164	LIPO	0.000000	0.000000	1.000010	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9953
prot_10165	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10166	OTHER	1.000007	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10167	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10168	LIPO	0.000000	0.000000	1.000018	0.000000	0.000000	0.000000	CS pos: 24-25. Pr: 0.9965
prot_10169	OTHER	1.000005	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1017	SP	0.000504	0.997873	0.000485	0.000437	0.000353	0.000346	CS pos: 30-31. Pr: 0.9687
prot_10170	OTHER	1.000015	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10171	SP	0.003717	0.995162	0.000327	0.000326	0.000238	0.000214	CS pos: 51-52. Pr: 0.8148
prot_10172	LIPO	0.000000	0.000000	1.000031	0.000000	0.000000	0.000000	CS pos: 26-27. Pr: 0.9972
prot_10173	OTHER	1.000011	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10174	SP	0.000198	0.999195	0.000170	0.000172	0.000135	0.000131	CS pos: 27-28. Pr: 0.9743
prot_10175	OTHER	0.999968	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10176	SP	0.000300	0.998952	0.000234	0.000207	0.000170	0.000149	CS pos: 28-29. Pr: 0.9764
prot_10177	OTHER	1.000005	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10178	SP	0.000112	0.666257	0.333443	0.000084	0.000074	0.000076	CS pos: 20-21. Pr: 0.6497
prot_10179	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1018	OTHER	1.000011	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10180	OTHER	1.000010	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10181	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10182	SP	0.000267	0.999048	0.000211	0.000201	0.000154	0.000149	CS pos: 20-21. Pr: 0.9815
prot_10183	OTHER	0.999982	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10184	OTHER	1.000017	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10185	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10186	OTHER	0.999956	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10187	SP	0.000966	0.998187	0.000270	0.000234	0.000186	0.000171	CS pos: 32-33. Pr: 0.9677
prot_10188	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10189	OTHER	0.999981	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1019	OTHER	1.000008	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10190	LIPO	0.000010	0.000336	0.999662	0.000001	0.000000	0.000000	CS pos: 32-33. Pr: 0.9889
prot_10191	OTHER	1.000030	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10192	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10193	OTHER	1.000005	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10194	OTHER	0.999987	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10195	OTHER	1.000024	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10196	OTHER	1.000036	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10197	LIPO	0.000002	0.000022	0.999982	0.000001	0.000000	0.000000	CS pos: 26-27. Pr: 0.9948
prot_10198	SP	0.000163	0.666044	0.333484	0.000124	0.000111	0.000098	CS pos: 32-33. Pr: 0.6445
prot_10199	OTHER	0.999986	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_102	OTHER	0.999966	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1020	OTHER	0.999986	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10200	OTHER	1.000015	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10201	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10202	OTHER	1.000007	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10203	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10204	OTHER	0.999986	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10205	SP	0.000622	0.998432	0.000288	0.000256	0.000208	0.000189	CS pos: 31-32. Pr: 0.9442
prot_10206	OTHER	1.000016	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10207	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10208	LIPO	0.000000	0.000000	1.000016	0.000000	0.000000	0.000000	CS pos: 25-26. Pr: 0.9972
prot_10209	SP	0.000229	0.832567	0.166851	0.000124	0.000111	0.000109	CS pos: 26-27. Pr: 0.8119
prot_1021	OTHER	1.000034	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10210	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10211	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10212	SP	0.167479	0.829166	0.002879	0.000226	0.000133	0.000124	CS pos: 47-48. Pr: 0.8292
prot_10213	LIPO	0.000000	0.000000	1.000010	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9955
prot_10214	OTHER	1.000020	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10215	OTHER	1.000015	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10216	TAT	0.000000	0.000000	0.000000	0.833352	0.166657	0.000000	CS pos: 62-63. Pr: 0.7071
prot_10217	OTHER	0.889792	0.110162	0.000015	0.000013	0.000007	0.000008	
prot_10218	LIPO	0.000000	0.000000	1.000005	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9752
prot_10219	SP	0.000368	0.998755	0.000241	0.000252	0.000198	0.000181	CS pos: 52-53. Pr: 0.8071
prot_1022	LIPO	0.000000	0.000000	1.000018	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9956
prot_10220	OTHER	0.999967	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10221	LIPO	0.000045	0.333174	0.666751	0.000028	0.000027	0.000025	CS pos: 23-24. Pr: 0.6580
prot_10222	OTHER	0.999991	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10223	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10224	OTHER	1.000011	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10225	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10226	OTHER	0.999974	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10227	OTHER	0.999991	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10228	OTHER	1.000028	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10229	OTHER	1.000025	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1023	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10230	LIPO	0.000160	0.001476	0.998350	0.000009	0.000002	0.000000	CS pos: 30-31. Pr: 0.9967
prot_10231	OTHER	0.833625	0.165863	0.000151	0.000113	0.000111	0.000125	
prot_10232	SP	0.000227	0.999113	0.000181	0.000185	0.000158	0.000142	CS pos: 21-22. Pr: 0.4923
prot_10233	OTHER	1.000015	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10234	LIPO	0.434057	0.047585	0.518366	0.000000	0.000000	0.000000	CS pos: 62-63. Pr: 0.3724
prot_10235	LIPO	0.000000	0.000004	1.000032	0.000000	0.000000	0.000000	CS pos: 27-28. Pr: 0.9966
prot_10236	OTHER	0.999096	0.000928	0.000000	0.000000	0.000000	0.000000	
prot_10237	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10238	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10239	OTHER	1.000024	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1024	SP	0.000197	0.999150	0.000171	0.000185	0.000142	0.000152	CS pos: 26-27. Pr: 0.9628
prot_10240	LIPO	0.000000	0.000000	1.000028	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9905
prot_10241	LIPO	0.027301	0.068853	0.895956	0.007119	0.000532	0.000212	CS pos: 37-38. Pr: 0.9970
prot_10242	SP	0.000202	0.914867	0.084425	0.000177	0.000145	0.000148	CS pos: 22-23. Pr: 0.8852
prot_10243	SP	0.001757	0.991662	0.003352	0.001328	0.000746	0.001161	CS pos: 25-26. Pr: 0.9678
prot_10244	OTHER	1.000007	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10245	LIPO	0.000000	0.000000	1.000043	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9976
prot_10246	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10247	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10248	SP	0.003520	0.986360	0.009550	0.000272	0.000154	0.000164	CS pos: 43-44. Pr: 0.9759
